2026-01-12 20:41:10,893 - INFO - 🚀 开始批量下载A股数据...
2026-01-12 20:41:10,893 - INFO - 数据路径: ./data
2026-01-12 20:41:10,893 - INFO - 时间范围: 20150101 至 20260112
2026-01-12 20:41:16,975 - INFO - 获取到 5470 只待下载股票
2026-01-12 20:41:34,022 - INFO - 获取到 1342 只待下载ETF
2026-01-12 20:41:45,206 - ERROR - ❌ 下载 000599.SZ (青岛双星) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:45,980 - ERROR - ❌ 下载 000601.SZ (韶能股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,061 - ERROR - ❌ 下载 000603.SZ (盛达资源) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,091 - ERROR - ❌ 下载 000609.SZ (ST中迪) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,092 - ERROR - ❌ 下载 000607.SZ (华媒控股) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,098 - ERROR - ❌ 下载 000608.SZ (*ST阳光) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,105 - ERROR - ❌ 下载 000605.SZ (渤海股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,107 - ERROR - ❌ 下载 000610.SZ (西安旅游) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,119 - ERROR - ❌ 下载 000612.SZ (焦作万方) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,955 - ERROR - ❌ 下载 000615.SZ (*ST美谷) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:46,965 - ERROR - ❌ 下载 000617.SZ (中油资本) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:47,046 - ERROR - ❌ 下载 000620.SZ (盈新发展) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
