date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2025-02-10,2183.78,2183.88,2188.13,2156.76,279950659,512227306833.98,1.44,0.44,9.53,5.15,399006.SZ
2025-02-11,2182.91,2152.73,2182.91,2150.47,266477049,487815482425.6,1.49,-1.43,-31.15,4.91,399006.SZ
2025-02-12,2144.73,2191.76,2194.1,2142.05,258849275,494031078864.87,2.42,1.81,39.03,4.77,399006.SZ
2025-02-13,2186.14,2176.16,2203.64,2175.42,284591869,518915994554.68,1.29,-0.71,-15.6,5.24,399006.SZ
2025-02-14,2176.32,2215.3,2223.39,2176.21,286996251,515645994563.77,2.17,1.8,39.14,5.28,399006.SZ
2025-02-17,2243.66,2226.62,2245.37,2208.77,326355461,594941327620.99,1.65,0.51,11.32,6.01,399006.SZ
2025-02-18,2223.48,2182.57,2231.28,2173.54,294210590,532993913374.63,2.59,-1.98,-44.05,5.42,399006.SZ
2025-02-19,2174.96,2226.98,2228.48,2174.01,260631356,507339425588.72,2.5,2.03,44.41,4.8,399006.SZ
2025-02-20,2222.37,2225.58,2233.98,2204.64,280378857,537322155811.05,1.32,-0.06,-1.4,5.16,399006.SZ
2025-02-21,2228.92,2281.51,2284.04,2228.92,333039973,669308764691.68,2.48,2.51,55.93,6.13,399006.SZ
2025-02-24,2277.15,2266.24,2283.79,2245.61,314290011,619405605772.5,1.67,-0.67,-15.27,5.79,399006.SZ
2025-02-25,2227.29,2240.59,2265.91,2224.46,292711324,561872269832.94,1.83,-1.13,-25.65,5.39,399006.SZ
2025-02-26,2246.95,2268.22,2268.57,2232.31,297225033,586936953671.49,1.62,1.23,27.63,5.47,399006.SZ
2025-02-27,2268.5,2256.51,2279.39,2225.53,307273306,596467082624.74,2.37,-0.52,-11.71,5.66,399006.SZ
2025-02-28,2238.34,2170.39,2240.78,2163.69,281464504,530902059044.94,3.42,-3.82,-86.12,5.18,399006.SZ
2025-03-03,2176.82,2196.52,2232.2,2161.36,247920944,472696215188.87,3.26,1.2,26.13,4.57,399006.SZ
2025-03-04,2170.99,2190.08,2193.53,2161.06,225876166,427875703570.57,1.48,-0.29,-6.44,4.16,399006.SZ
2025-03-05,2190.58,2190.36,2200.87,2173.9,233260677,442270535196.44,1.23,0.01,0.28,4.3,399006.SZ
2025-03-06,2204.25,2234.69,2243.28,2202.01,306910775,592297157877.56,1.88,2.02,44.33,5.65,399006.SZ
2025-03-07,2221.91,2205.31,2226.0,2195.13,287065098,551841091100.51,1.38,-1.31,-29.38,5.29,399006.SZ
2025-03-10,2211.1,2199.88,2217.77,2182.58,231584299,438592530373.39,1.6,-0.25,-5.43,4.26,399006.SZ
2025-03-11,2172.18,2204.03,2204.03,2171.27,220927831,413787146113.67,1.49,0.19,4.15,4.07,399006.SZ
2025-03-12,2211.15,2191.27,2214.97,2191.1,266044504,497412152810.66,1.08,-0.58,-12.76,4.9,399006.SZ
2025-03-13,2189.47,2166.0,2200.91,2154.95,250422746,457459231683.6,2.1,-1.15,-25.27,4.61,399006.SZ
2025-03-14,2165.53,2226.72,2233.83,2161.89,265860088,507505990281.64,3.32,2.8,60.72,4.9,399006.SZ
2025-03-17,2230.85,2215.13,2233.33,2212.02,245505172,461676726065.97,0.96,-0.52,-11.59,4.52,399006.SZ
2025-03-18,2225.2,2228.64,2242.22,2215.37,238408415,461631427130.75,1.21,0.61,13.51,4.39,399006.SZ
2025-03-19,2221.6,2222.35,2237.95,2208.26,229680955,440646530017.23,1.33,-0.28,-6.29,4.23,399006.SZ
2025-03-20,2220.5,2200.03,2221.61,2198.38,235839545,416932299413.42,1.05,-1.0,-22.32,4.34,399006.SZ
2025-03-21,2193.36,2152.28,2201.42,2149.09,260886417,433846880498.88,2.38,-2.17,-47.75,4.8,399006.SZ
2025-03-24,2154.67,2152.55,2160.46,2125.13,243858778,400225317591.73,1.64,0.01,0.27,4.49,399006.SZ
2025-03-25,2154.2,2145.48,2165.01,2136.61,198697315,347104338738.19,1.32,-0.33,-7.07,3.66,399006.SZ
2025-03-26,2143.12,2139.9,2157.78,2139.9,184203191,307612308758.98,0.83,-0.26,-5.58,3.39,399006.SZ
2025-03-27,2130.49,2145.1,2165.16,2117.75,191716879,324723520805.6,2.22,0.24,5.2,3.53,399006.SZ
2025-03-28,2140.07,2128.21,2152.4,2128.21,179554641,299470079793.54,1.13,-0.79,-16.89,3.31,399006.SZ
2025-03-31,2117.88,2103.7,2123.87,2087.13,186061401,321330783331.91,1.73,-1.15,-24.51,3.43,399006.SZ
2025-04-01,2108.46,2101.88,2127.54,2100.3,171368258,303716942192.44,1.29,-0.09,-1.82,3.16,399006.SZ
